Verb,Agent,Location,Patient,Instrument
beg,1,1,1,0
bend,1,1,1,0
bite,1,1,1,0
blow,1,1,1,0
bounce,1,1,1,0
box,1,1,1,0
braid,1,1,1,0
buckle,1,1,1,0
chase,1,1,1,0
count,1,1,1,0
crash,1,1,1,0
cross,1,1,1,0
deliver,1,1,1,0
develop,1,1,1,0
dip,1,1,1,0
direct,1,1,1,0
drive,1,1,1,0
drop,1,1,1,0
dump,1,1,1,0
explode,1,1,1,0
file,1,1,1,0
fold,1,1,1,0
follow,1,1,1,0
give,1,1,1,0
juggle,1,1,1,0
kick,1,1,1,0
kiss,1,1,1,0
knock,1,1,1,0
lick,1,1,1,0
play,1,1,1,0
plug,1,1,1,0
pull,1,1,1,0
push,1,1,1,0
put,1,1,1,0
read,1,1,1,0
ride,1,1,1,0
ring,1,1,1,0
roll,1,1,1,0
sail,1,1,1,0
salute,1,1,1,0
scared,1,1,1,0
send,1,1,1,0
shove,1,1,1,0
sink,1,1,1,0
smell,1,1,1,0
smoke,1,1,1,0
spill,1,1,1,0
squeeze,1,1,1,0
steal,1,1,1,0
sting,1,1,1,0
stop,1,1,1,0
stroke,1,1,1,0
suck,1,1,1,0
tear,1,1,1,0
tie,1,1,1,0
trip,1,1,1,0
twist,1,1,1,0
wave,1,1,1,0
wind,1,1,1,0
yell,1,1,1,0
zip,1,1,1,0
