Verb,Agent,Location,Patient,Instrument
break,1,1,1,1
brush,1,1,1,1
build,1,1,1,1
burn,1,1,1,1
bury,1,1,1,1
carry,1,1,1,1
catch,1,1,1,1
comb,1,1,1,1
conduct,1,1,1,1
cook,1,1,1,1
curl,1,1,1,1
cut,1,1,1,1
dig,1,1,1,1
draw,1,1,1,1
drill,1,1,1,1
drink,1,1,1,1
dust,1,1,1,1
eat,1,1,1,1
erase,1,1,1,1
feed,1,1,1,1
fight,1,1,1,1
fish,1,1,1,1
glue,1,1,1,1
grate,1,1,1,1
iron,1,1,1,1
knit,1,1,1,1
light,1,1,1,1
look,1,1,1,1
measure,1,1,1,1
melt,1,1,1,1
open,1,1,1,1
paint,1,1,1,1
pay,1,1,1,1
peel,1,1,1,1
pinch,1,1,1,1
plant,1,1,1,1
pour,1,1,1,1
rake,1,1,1,1
saw,1,1,1,1
scoop,1,1,1,1
sew,1,1,1,1
shave,1,1,1,1
shoot,1,1,1,1
spread,1,1,1,1
stir,1,1,1,1
swat,1,1,1,1
sweep,1,1,1,1
thread,1,1,1,1
throw,1,1,1,1
tickle,1,1,1,1
touch,1,1,1,1
tow,1,1,1,1
type,1,1,1,1
vacuum,1,1,1,1
wash,1,1,1,1
watch,1,1,1,1
water,1,1,1,1
weave,1,1,1,1
weigh,1,1,1,1
write,1,1,1,1
